[2023-05-24 22:24:39,999] Namespace(checkpoint_path='./pretrain-weights/sam_vit_h_4b8939.pth', model_type='vit_h', device='cuda', voc2012_path='./VOC2012', n_emb=6, lr=0.005, trainer='cocoop', batch_size=8, num_workers=24, epoch=100, unseen_classes=[17, 18, 19, 20], save_dir='ckpt/n_emb_6')
[2023-05-24 22:25:28,047] epoch [0]
[2023-05-24 22:28:54,568] mean IoU: 0.597597  background: 0.843017  foreground: 0.352177
[2023-05-24 22:28:54,568] mean IoU: 0.389027  background: 0.843017  aeroplane: 0.433811  bicycle: 0.280937  bird: 0.389059  boat: 0.376548  bottle: 0.202756  bus: 0.578717  car: 0.409515  cat: 0.616589  chair: 0.093538  cow: 0.478124  diningtable: 0.075405  dog: 0.601870  horse: 0.643425  motorbike: 0.299512  person: 0.159890  pottedplant: 0.130741  sheep: nan  sofa: nan  train: nan  tvmonitor: nan
[2023-05-24 22:30:21,228] mean IoU: 0.676341  background: 0.872391  foreground: 0.480291
[2023-05-24 22:30:21,229] mean IoU: 0.483092  background: 0.872391  aeroplane: 0.795364  bicycle: 0.163227  bird: 0.409445  boat: 0.529016  bottle: 0.215286  bus: 0.819013  car: 0.469098  cat: 0.805218  chair: 0.110773  cow: 0.753631  diningtable: 0.036880  dog: 0.781852  horse: 0.687180  motorbike: 0.613764  person: 0.329726  pottedplant: 0.149409  sheep: 0.721189  sofa: 0.144978  train: 0.560532  tvmonitor: 0.176964
[2023-05-24 22:30:21,229] 

[2023-05-24 22:30:21,243] Saving model: ckpt/n_emb_6/best.pth
[2023-05-24 22:30:25,424] epoch [0] has the best iou: 0.480291
[2023-05-24 22:30:25,424] epoch [1]
[2023-05-24 22:33:51,044] mean IoU: 0.713965  background: 0.891597  foreground: 0.536332
[2023-05-24 22:33:51,044] mean IoU: 0.524563  background: 0.891597  aeroplane: 0.685007  bicycle: 0.214012  bird: 0.546711  boat: 0.548856  bottle: 0.165221  bus: 0.720372  car: 0.561333  cat: 0.831242  chair: 0.132618  cow: 0.691107  diningtable: 0.149184  dog: 0.754141  horse: 0.715580  motorbike: 0.656970  person: 0.462382  pottedplant: 0.191236  sheep: nan  sofa: nan  train: nan  tvmonitor: nan
[2023-05-24 22:35:17,720] mean IoU: 0.732680  background: 0.897046  foreground: 0.568313
[2023-05-24 22:35:17,720] mean IoU: 0.521828  background: 0.897046  aeroplane: 0.836433  bicycle: 0.192589  bird: 0.715232  boat: 0.556136  bottle: 0.116139  bus: 0.816840  car: 0.584616  cat: 0.847569  chair: 0.117957  cow: 0.797501  diningtable: 0.218128  dog: 0.769201  horse: 0.754545  motorbike: 0.747469  person: 0.653257  pottedplant: 0.154342  sheep: 0.771257  sofa: 0.121911  train: 0.158515  tvmonitor: 0.131709
[2023-05-24 22:35:17,721] 

[2023-05-24 22:35:17,731] Saving model: ckpt/n_emb_6/best.pth
[2023-05-24 22:35:27,824] epoch [1] has the best iou: 0.568313
[2023-05-24 22:35:27,825] epoch [2]
[2023-05-24 22:38:53,690] mean IoU: 0.781616  background: 0.918045  foreground: 0.645187
[2023-05-24 22:38:53,690] mean IoU: 0.615389  background: 0.918045  aeroplane: 0.805576  bicycle: 0.314572  bird: 0.744986  boat: 0.619839  bottle: 0.217455  bus: 0.767851  car: 0.694373  cat: 0.858785  chair: 0.221182  cow: 0.733513  diningtable: 0.267807  dog: 0.788763  horse: 0.765922  motorbike: 0.758255  person: 0.677095  pottedplant: 0.307602  sheep: nan  sofa: nan  train: nan  tvmonitor: nan
[2023-05-24 22:40:20,316] mean IoU: 0.736056  background: 0.902925  foreground: 0.569188
[2023-05-24 22:40:20,317] mean IoU: 0.511233  background: 0.902925  aeroplane: 0.864673  bicycle: 0.127023  bird: 0.748462  boat: 0.555044  bottle: 0.137175  bus: 0.842446  car: 0.589971  cat: 0.831388  chair: 0.129883  cow: 0.799294  diningtable: 0.163773  dog: 0.800613  horse: 0.713384  motorbike: 0.796959  person: 0.722817  pottedplant: 0.129226  sheep: 0.766580  sofa: 0.101482  train: 0.000383  tvmonitor: 0.012398
[2023-05-24 22:40:20,318] 

[2023-05-24 22:40:20,340] Saving model: ckpt/n_emb_6/best.pth
[2023-05-24 22:40:39,248] epoch [2] has the best iou: 0.569188
[2023-05-24 22:40:39,249] epoch [3]
[2023-05-24 22:44:04,395] mean IoU: 0.807447  background: 0.928932  foreground: 0.685961
[2023-05-24 22:44:04,396] mean IoU: 0.643510  background: 0.928932  aeroplane: 0.851945  bicycle: 0.226196  bird: 0.781508  boat: 0.647883  bottle: 0.373977  bus: 0.804731  car: 0.725979  cat: 0.865296  chair: 0.205429  cow: 0.718791  diningtable: 0.297954  dog: 0.792187  horse: 0.811584  motorbike: 0.783859  person: 0.766619  pottedplant: 0.356804  sheep: nan  sofa: nan  train: nan  tvmonitor: nan
[2023-05-24 22:45:32,141] mean IoU: 0.756952  background: 0.907021  foreground: 0.606882
[2023-05-24 22:45:32,141] mean IoU: 0.560277  background: 0.907021  aeroplane: 0.877414  bicycle: 0.215622  bird: 0.795466  boat: 0.599376  bottle: 0.494456  bus: 0.871317  car: 0.576138  cat: 0.835401  chair: 0.113195  cow: 0.785568  diningtable: 0.211873  dog: 0.801968  horse: 0.768619  motorbike: 0.797082  person: 0.787853  pottedplant: 0.297258  sheep: 0.767763  sofa: 0.184118  train: 0.014179  tvmonitor: 0.064132
[2023-05-24 22:45:32,142] 

[2023-05-24 22:45:32,164] Saving model: ckpt/n_emb_6/best.pth
[2023-05-24 22:45:43,514] epoch [3] has the best iou: 0.606882
[2023-05-24 22:45:43,515] epoch [4]
