[2023-05-31 18:02:23,827] Namespace(checkpoint_path='./pretrain-weights/sam_vit_h_4b8939.pth', model_type='vit_h', device='cuda', voc2012_path='./VOC2012', coco_path='./COCO2017', dataset='VOC', n_emb=5, lr=0.005, trainer='cocoop', batch_size=8, num_workers=16, epoch=200, save_dir='ckpt/n_emb_5', load_model_path='./models/best.pth', resume=False)
[2023-05-31 18:02:46,869] epoch [0]
[2023-05-31 18:04:50,035] mean IoU: 0.593128  background: 0.840063  foreground: 0.346194
[2023-05-31 18:05:32,061] mean IoU: 0.677694  background: 0.859508  foreground: 0.495879
[2023-05-31 18:05:32,061] 

[2023-05-31 18:05:32,120] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 18:05:35,491] epoch [0] has the best iou: 0.495879
[2023-05-31 18:05:35,499] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:05:39,068] epoch [1]
[2023-05-31 18:09:04,194] mean IoU: 0.697244  background: 0.881683  foreground: 0.512805
[2023-05-31 18:10:16,518] mean IoU: 0.685793  background: 0.877332  foreground: 0.494253
[2023-05-31 18:10:16,519] 

[2023-05-31 18:10:16,530] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:10:26,541] epoch [2]
[2023-05-31 18:13:51,906] mean IoU: 0.723067  background: 0.893296  foreground: 0.552839
[2023-05-31 18:15:02,760] mean IoU: 0.703187  background: 0.869856  foreground: 0.536519
[2023-05-31 18:15:02,760] 

[2023-05-31 18:15:02,772] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 18:15:15,536] epoch [2] has the best iou: 0.536519
[2023-05-31 18:15:15,542] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:15:28,752] epoch [3]
[2023-05-31 18:18:55,118] mean IoU: 0.761558  background: 0.908183  foreground: 0.614934
[2023-05-31 18:20:08,603] mean IoU: 0.787945  background: 0.917301  foreground: 0.658589
[2023-05-31 18:20:08,604] 

[2023-05-31 18:20:08,618] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 18:20:22,865] epoch [3] has the best iou: 0.658589
[2023-05-31 18:20:22,871] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:20:42,342] epoch [4]
[2023-05-31 18:24:09,617] mean IoU: 0.793284  background: 0.921243  foreground: 0.665325
[2023-05-31 18:25:24,670] mean IoU: 0.801595  background: 0.922773  foreground: 0.680417
[2023-05-31 18:25:24,671] 

[2023-05-31 18:25:24,679] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 18:25:44,449] epoch [4] has the best iou: 0.680417
[2023-05-31 18:25:44,457] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:25:59,367] epoch [5]
[2023-05-31 18:29:26,657] mean IoU: 0.810867  background: 0.927772  foreground: 0.693961
[2023-05-31 18:30:42,339] mean IoU: 0.788911  background: 0.917311  foreground: 0.660511
[2023-05-31 18:30:42,339] 

[2023-05-31 18:30:42,348] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:30:57,163] epoch [6]
[2023-05-31 18:34:17,425] mean IoU: 0.819329  background: 0.931402  foreground: 0.707256
[2023-05-31 18:35:31,380] mean IoU: 0.818215  background: 0.929087  foreground: 0.707343
[2023-05-31 18:35:31,381] 

[2023-05-31 18:35:31,391] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 18:35:42,729] epoch [6] has the best iou: 0.707343
[2023-05-31 18:35:42,739] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:35:57,181] epoch [7]
[2023-05-31 18:39:18,509] mean IoU: 0.829181  background: 0.934773  foreground: 0.723588
[2023-05-31 18:40:33,284] mean IoU: 0.821074  background: 0.929113  foreground: 0.713034
[2023-05-31 18:40:33,285] 

[2023-05-31 18:40:33,291] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 18:40:44,566] epoch [7] has the best iou: 0.713034
[2023-05-31 18:40:44,572] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:40:58,211] epoch [8]
[2023-05-31 18:44:20,739] mean IoU: 0.828196  background: 0.934664  foreground: 0.721728
[2023-05-31 18:45:35,505] mean IoU: 0.824268  background: 0.930529  foreground: 0.718007
[2023-05-31 18:45:35,506] 

[2023-05-31 18:45:35,515] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 18:45:46,686] epoch [8] has the best iou: 0.718007
[2023-05-31 18:45:46,691] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:45:59,711] epoch [9]
[2023-05-31 18:49:23,853] mean IoU: 0.842969  background: 0.940558  foreground: 0.745380
[2023-05-31 18:50:38,626] mean IoU: 0.825016  background: 0.932137  foreground: 0.717895
[2023-05-31 18:50:38,626] 

[2023-05-31 18:50:38,636] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:50:50,131] epoch [10]
[2023-05-31 18:54:19,831] mean IoU: 0.843901  background: 0.940967  foreground: 0.746834
[2023-05-31 18:55:33,918] mean IoU: 0.827349  background: 0.932035  foreground: 0.722662
[2023-05-31 18:55:33,918] 

[2023-05-31 18:55:33,928] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 18:55:46,962] epoch [10] has the best iou: 0.722662
[2023-05-31 18:55:46,968] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 18:56:05,098] epoch [11]
[2023-05-31 18:59:30,222] mean IoU: 0.859325  background: 0.947284  foreground: 0.771367
[2023-05-31 19:00:44,551] mean IoU: 0.824320  background: 0.933683  foreground: 0.714956
[2023-05-31 19:00:44,551] 

[2023-05-31 19:00:44,559] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:00:56,025] epoch [12]
[2023-05-31 19:04:24,667] mean IoU: 0.856625  background: 0.945961  foreground: 0.767289
[2023-05-31 19:05:39,766] mean IoU: 0.821023  background: 0.932973  foreground: 0.709072
[2023-05-31 19:05:39,767] 

[2023-05-31 19:05:39,775] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:05:51,733] epoch [13]
[2023-05-31 19:09:12,741] mean IoU: 0.865421  background: 0.949578  foreground: 0.781263
[2023-05-31 19:10:28,918] mean IoU: 0.833779  background: 0.935066  foreground: 0.732492
[2023-05-31 19:10:28,919] 

[2023-05-31 19:10:28,926] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 19:10:39,852] epoch [13] has the best iou: 0.732492
[2023-05-31 19:10:39,859] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:10:52,318] epoch [14]
[2023-05-31 19:14:16,059] mean IoU: 0.870350  background: 0.951406  foreground: 0.789293
[2023-05-31 19:15:30,253] mean IoU: 0.827778  background: 0.933075  foreground: 0.722482
[2023-05-31 19:15:30,253] 

[2023-05-31 19:15:30,264] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:15:40,946] epoch [15]
[2023-05-31 19:18:59,963] mean IoU: 0.875582  background: 0.953405  foreground: 0.797759
[2023-05-31 19:20:15,612] mean IoU: 0.836691  background: 0.935506  foreground: 0.737876
[2023-05-31 19:20:15,698] 

[2023-05-31 19:20:15,706] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 19:20:27,045] epoch [15] has the best iou: 0.737876
[2023-05-31 19:20:27,051] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:20:39,319] epoch [16]
[2023-05-31 19:24:09,620] mean IoU: 0.876974  background: 0.954005  foreground: 0.799942
[2023-05-31 19:25:24,196] mean IoU: 0.840741  background: 0.938630  foreground: 0.742852
[2023-05-31 19:25:24,196] 

[2023-05-31 19:25:24,205] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 19:25:37,004] epoch [16] has the best iou: 0.742852
[2023-05-31 19:25:37,014] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:25:50,011] epoch [17]
[2023-05-31 19:29:19,833] mean IoU: 0.876723  background: 0.953778  foreground: 0.799668
[2023-05-31 19:30:33,019] mean IoU: 0.824101  background: 0.933042  foreground: 0.715160
[2023-05-31 19:30:33,020] 

[2023-05-31 19:30:33,032] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:30:46,493] epoch [18]
[2023-05-31 19:34:17,004] mean IoU: 0.879512  background: 0.954886  foreground: 0.804138
[2023-05-31 19:35:31,012] mean IoU: 0.837727  background: 0.935828  foreground: 0.739626
[2023-05-31 19:35:31,012] 

[2023-05-31 19:35:31,020] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:35:43,766] epoch [19]
[2023-05-31 19:39:08,937] mean IoU: 0.879711  background: 0.955181  foreground: 0.804240
[2023-05-31 19:40:23,706] mean IoU: 0.836900  background: 0.934889  foreground: 0.738912
[2023-05-31 19:40:23,707] 

[2023-05-31 19:40:23,716] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:40:35,892] epoch [20]
[2023-05-31 19:43:54,934] mean IoU: 0.884771  background: 0.956867  foreground: 0.812676
[2023-05-31 19:45:10,522] mean IoU: 0.825384  background: 0.932884  foreground: 0.717884
[2023-05-31 19:45:10,523] 

[2023-05-31 19:45:10,533] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:45:20,725] epoch [21]
[2023-05-31 19:48:40,948] mean IoU: 0.877478  background: 0.953998  foreground: 0.800959
[2023-05-31 19:49:55,528] mean IoU: 0.842964  background: 0.938897  foreground: 0.747031
[2023-05-31 19:49:55,528] 

[2023-05-31 19:49:55,538] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 19:50:05,445] epoch [21] has the best iou: 0.747031
[2023-05-31 19:50:05,452] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:50:19,968] epoch [22]
[2023-05-31 19:53:42,436] mean IoU: 0.889721  background: 0.959137  foreground: 0.820305
[2023-05-31 19:54:56,905] mean IoU: 0.834798  background: 0.936594  foreground: 0.733001
[2023-05-31 19:54:56,905] 

[2023-05-31 19:54:56,916] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:55:06,685] epoch [23]
[2023-05-31 19:58:27,374] mean IoU: 0.881860  background: 0.955933  foreground: 0.807787
[2023-05-31 19:59:41,810] mean IoU: 0.837202  background: 0.934996  foreground: 0.739408
[2023-05-31 19:59:41,810] 

[2023-05-31 19:59:41,818] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 19:59:52,843] epoch [24]
[2023-05-31 20:03:12,075] mean IoU: 0.891399  background: 0.959436  foreground: 0.823361
[2023-05-31 20:04:26,367] mean IoU: 0.838973  background: 0.936444  foreground: 0.741502
[2023-05-31 20:04:26,368] 

[2023-05-31 20:04:26,375] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 20:04:37,856] epoch [25]
[2023-05-31 20:07:58,125] mean IoU: 0.884444  background: 0.957047  foreground: 0.811841
[2023-05-31 20:09:12,523] mean IoU: 0.836230  background: 0.937184  foreground: 0.735276
[2023-05-31 20:09:12,523] 

[2023-05-31 20:09:12,530] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 20:09:23,282] epoch [26]
[2023-05-31 20:12:36,984] mean IoU: 0.898299  background: 0.962296  foreground: 0.834301
[2023-05-31 20:13:52,550] mean IoU: 0.842801  background: 0.936667  foreground: 0.748934
[2023-05-31 20:13:52,551] 

[2023-05-31 20:13:52,560] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 20:14:04,397] epoch [26] has the best iou: 0.748934
[2023-05-31 20:14:04,405] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 20:14:16,561] epoch [27]
[2023-05-31 20:17:31,989] mean IoU: 0.896647  background: 0.961567  foreground: 0.831727
[2023-05-31 20:18:46,654] mean IoU: 0.843091  background: 0.938134  foreground: 0.748048
[2023-05-31 20:18:46,655] 

[2023-05-31 20:18:46,666] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 20:18:58,103] epoch [28]
[2023-05-31 20:22:08,412] mean IoU: 0.893274  background: 0.960492  foreground: 0.826056
[2023-05-31 20:23:24,470] mean IoU: 0.842457  background: 0.939463  foreground: 0.745451
[2023-05-31 20:23:24,470] 

[2023-05-31 20:23:24,478] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 20:23:35,675] epoch [29]
[2023-05-31 20:26:55,470] mean IoU: 0.903313  background: 0.964230  foreground: 0.842397
[2023-05-31 20:28:11,924] mean IoU: 0.844909  background: 0.938725  foreground: 0.751094
[2023-05-31 20:28:11,924] 

[2023-05-31 20:28:11,932] saving model: ckpt/n_emb_5/best.pth
[2023-05-31 20:28:22,134] epoch [29] has the best iou: 0.751094
[2023-05-31 20:28:22,143] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 20:28:33,861] epoch [30]
[2023-05-31 20:31:52,419] mean IoU: 0.905625  background: 0.965197  foreground: 0.846053
[2023-05-31 20:33:08,510] mean IoU: 0.845553  background: 0.940732  foreground: 0.750374
[2023-05-31 20:33:08,511] 

[2023-05-31 20:33:08,520] saving model: ckpt/n_emb_5/last.pth
[2023-05-31 20:33:20,213] epoch [31]
[2023-05-31 20:36:38,243] mean IoU: 0.900148  background: 0.963220  foreground: 0.837075
[2023-05-31 20:37:53,732] mean IoU: 0.839713  background: 0.937534  foreground: 0.741893
[2023-05-31 20:37:53,732] 

