[2023-06-02 22:18:36,229] Namespace(checkpoint_path='./pretrain-weights/sam_vit_h_4b8939.pth', model_type='vit_h', device='cuda', voc2012_path='./VOC2012', n_emb=1, lr=0.005, trainer='cocoopv2', batch_size=8, num_workers=24, epoch=100, unseen_classes=[17, 18, 19, 20], save_dir='ckpt_zero-shot_v2/n_emb_1')
[2023-06-02 22:19:03,322] epoch [0]
[2023-06-02 22:22:32,310] mean IoU: 0.576940  background: 0.830251  foreground: 0.323630
[2023-06-02 22:22:32,310] mean IoU: 0.369798  background: 0.830251  aeroplane: 0.461816  bicycle: 0.164838  bird: 0.469270  boat: 0.361150  bottle: 0.109637  bus: 0.604235  car: 0.399396  cat: 0.575435  chair: 0.056484  cow: 0.457170  diningtable: 0.068070  dog: 0.490509  horse: 0.448446  motorbike: 0.510935  person: 0.099945  pottedplant: 0.178984  sheep: nan  sofa: nan  train: nan  tvmonitor: nan
[2023-06-02 22:24:40,535] mean IoU: 0.608252  background: 0.857818  foreground: 0.358685
[2023-06-02 22:24:40,536] mean IoU: 0.392267  background: 0.857818  aeroplane: 0.777459  bicycle: 0.179625  bird: 0.518584  boat: 0.477425  bottle: 0.247354  bus: 0.767314  car: 0.448851  cat: 0.739980  chair: 0.016024  cow: 0.589113  diningtable: 0.017727  dog: 0.635513  horse: 0.586562  motorbike: 0.531874  person: 0.068809  pottedplant: 0.034669  sheep: 0.444417  sofa: 0.044340  train: 0.204443  tvmonitor: 0.049699
[2023-06-02 22:24:40,536] 

[2023-06-02 22:24:40,546] Saving model: ckpt_zero-shot_v2/n_emb_1/best.pth
[2023-06-02 22:24:45,213] epoch [0] has the best iou: 0.358685
[2023-06-02 22:24:45,213] epoch [1]
[2023-06-02 22:28:31,206] mean IoU: 0.669095  background: 0.874584  foreground: 0.463605
[2023-06-02 22:28:31,207] mean IoU: 0.500984  background: 0.874584  aeroplane: 0.662985  bicycle: 0.290163  bird: 0.623410  boat: 0.531232  bottle: 0.196725  bus: 0.800583  car: 0.543378  cat: 0.798153  chair: 0.047537  cow: 0.623575  diningtable: 0.082172  dog: 0.694721  horse: 0.695749  motorbike: 0.659328  person: 0.194668  pottedplant: 0.197760  sheep: nan  sofa: nan  train: nan  tvmonitor: nan
[2023-06-02 22:30:00,207] mean IoU: 0.642444  background: 0.871961  foreground: 0.412927
[2023-06-02 22:30:00,207] mean IoU: 0.435473  background: 0.871961  aeroplane: 0.792430  bicycle: 0.119458  bird: 0.666449  boat: 0.505300  bottle: 0.111520  bus: 0.769188  car: 0.446697  cat: 0.794615  chair: 0.058220  cow: 0.744594  diningtable: 0.055971  dog: 0.747874  horse: 0.709019  motorbike: 0.526762  person: 0.125693  pottedplant: 0.010824  sheep: 0.565035  sofa: 0.098484  train: 0.349219  tvmonitor: 0.075613
[2023-06-02 22:30:00,208] 

[2023-06-02 22:30:00,220] Saving model: ckpt_zero-shot_v2/n_emb_1/best.pth
